Dataset,Metric,Algorithm,Min Samples,Silhouette,ARI,DBI,Purity,Num Clusters,Time (s)
splice,l1,kd_tree,14,0.358219034252315,0.0134364755977634,1.157803694246721,0.5612109115103127,2,48.1121985912323
splice,l1,kd_tree,15,,0.0061405268280827,,0.5552228875582169,1,48.82071495056152
splice,manhattan,ball_tree,2,0.2618749626366763,0.1857214517420333,1.2147023443521046,0.7268795741849634,280,49.18426060676575
splice,manhattan,ball_tree,3,0.3468380054230994,0.1354773843389466,1.3001513498993,0.653692614770459,77,49.382258892059326
splice,manhattan,ball_tree,4,0.3710015056364909,0.096800351457,1.227286616012523,0.6254158349966733,43,49.679119348526
splice,manhattan,ball_tree,5,0.3863704044109315,0.0683866631067692,1.2276593267516296,0.6041250831669993,22,49.56409311294556
splice,manhattan,ball_tree,6,0.3874122963960352,0.0535141800306098,1.1823459817237911,0.592814371257485,14,48.4947624206543
splice,manhattan,ball_tree,7,0.3575941678511128,0.0330854918620495,1.2271929377059128,0.5768463073852296,7,48.46676182746887
splice,manhattan,ball_tree,8,0.3476131040053978,0.0305321966902156,1.265497025757342,0.5748502994011976,6,45.41982746124268
splice,manhattan,ball_tree,9,0.3236620321651414,0.0192611751098859,1.2847808356772503,0.5658682634730539,3,45.66882991790772
splice,manhattan,ball_tree,10,0.3367281530076506,0.0184115600469428,1.2245560961786397,0.5652029274783765,3,43.53420615196228
splice,manhattan,ball_tree,11,0.3420301693359665,0.0180006585323682,1.215178043517673,0.564870259481038,3,43.61920642852783
splice,manhattan,ball_tree,12,0.3349467597854364,0.0184409439135593,1.2619682081630317,0.5652029274783765,3,43.86620306968689
splice,manhattan,ball_tree,13,0.358219034252315,0.0134364755977634,1.157803694246721,0.5612109115103127,2,44.72464942932129
splice,manhattan,ball_tree,14,0.358219034252315,0.0134364755977634,1.157803694246721,0.5612109115103127,2,44.6477735042572
splice,manhattan,ball_tree,15,,0.0061405268280827,,0.5552228875582169,1,44.52577018737793
splice,manhattan,brute,2,0.2618749626366763,0.1857214517420333,1.2147023443521046,0.7268795741849634,280,244.77745485305783
splice,manhattan,brute,3,0.3468380054230994,0.1354773843389466,1.3001513498993,0.653692614770459,77,243.58592081069943
splice,manhattan,brute,4,0.3710015056364909,0.096800351457,1.227286616012523,0.6254158349966733,43,192.2962191104889
splice,manhattan,brute,5,0.3863704044109315,0.0683866631067692,1.2276593267516296,0.6041250831669993,22,237.04694747924805
splice,manhattan,brute,6,0.3874122963960352,0.0535141800306098,1.1823459817237911,0.592814371257485,14,238.00305032730105
splice,manhattan,brute,7,0.3575941678511128,0.0330854918620495,1.2271929377059128,0.5768463073852296,7,236.90554022789
splice,manhattan,brute,8,0.3476131040053978,0.0305321966902156,1.265497025757342,0.5748502994011976,6,236.90605521202087
splice,manhattan,brute,9,0.3236620321651414,0.0192611751098859,1.2847808356772503,0.5658682634730539,3,236.039113521576
splice,manhattan,brute,10,0.3367281530076506,0.0184115600469428,1.2245560961786397,0.5652029274783765,3,235.1661622524261
splice,manhattan,brute,11,0.3420301693359665,0.0180006585323682,1.215178043517673,0.564870259481038,3,235.3012323379517
splice,manhattan,brute,12,0.3349467597854364,0.0184409439135593,1.2619682081630317,0.5652029274783765,3,236.55393385887143
splice,manhattan,brute,13,0.358219034252315,0.0134364755977634,1.157803694246721,0.5612109115103127,2,235.1619367599488
splice,manhattan,brute,14,0.358219034252315,0.0134364755977634,1.157803694246721,0.5612109115103127,2,234.9001405239105
splice,manhattan,brute,15,,0.0061405268280827,,0.5552228875582169,1,236.0469026565552
splice,manhattan,kd_tree,2,0.2618749626366763,0.1857214517420333,1.2147023443521046,0.7268795741849634,280,52.606152057647705
splice,manhattan,kd_tree,3,0.3468380054230994,0.1354773843389466,1.3001513498993,0.653692614770459,77,79.08837580680847
splice,manhattan,kd_tree,4,0.3710015056364909,0.096800351457,1.227286616012523,0.6254158349966733,43,73.77428770065308
splice,manhattan,kd_tree,5,0.3863704044109315,0.0683866631067692,1.2276593267516296,0.6041250831669993,22,58.774757623672485
splice,manhattan,kd_tree,6,0.3874122963960352,0.0535141800306098,1.1823459817237911,0.592814371257485,14,48.99267482757568
splice,manhattan,kd_tree,7,0.3575941678511128,0.0330854918620495,1.2271929377059128,0.5768463073852296,7,55.33121991157532
splice,manhattan,kd_tree,8,0.3476131040053978,0.0305321966902156,1.265497025757342,0.5748502994011976,6,75.66784691810608
splice,manhattan,kd_tree,9,0.3236620321651414,0.0192611751098859,1.2847808356772503,0.5658682634730539,3,76.53026151657104
splice,manhattan,kd_tree,10,0.3367281530076506,0.0184115600469428,1.2245560961786397,0.5652029274783765,3,53.50953221321106
splice,manhattan,kd_tree,11,0.3420301693359665,0.0180006585323682,1.215178043517673,0.564870259481038,3,56.54197764396668
splice,manhattan,kd_tree,12,0.3349467597854364,0.0184409439135593,1.2619682081630317,0.5652029274783765,3,68.49197745323181
splice,manhattan,kd_tree,13,0.358219034252315,0.0134364755977634,1.157803694246721,0.5612109115103127,2,57.97234296798706
splice,manhattan,kd_tree,14,0.358219034252315,0.0134364755977634,1.157803694246721,0.5612109115103127,2,56.70640420913696
splice,manhattan,kd_tree,15,,0.0061405268280827,,0.5552228875582169,1,44.87182331085205
vowel,chebyshev,ball_tree,2,0.4730904422892611,0.0449540773610374,0.6227666942647179,0.8949494949494949,278,1.499997854232788
vowel,chebyshev,ball_tree,3,0.5362881045931783,0.0786258366262633,0.6599427639475608,0.914141414141414,168,1.4949989318847656
vowel,chebyshev,ball_tree,4,0.5442844156046174,0.0848137338441649,0.6517125875857069,0.8464646464646465,142,1.6520001888275146
vowel,chebyshev,ball_tree,5,0.5459795009318034,0.0690805585504811,0.6611290793915342,0.7222222222222222,116,1.6759984493255615
vowel,chebyshev,ball_tree,6,0.530005095053585,0.0441666691184746,0.6905868383510644,0.5676767676767677,87,1.8570013046264648
vowel,chebyshev,ball_tree,7,0.4636994003917475,0.0210389039536915,0.8207202159256659,0.2878787878787879,35,1.8350021839141848
vowel,chebyshev,ball_tree,8,0.4614032513840982,0.017432077266644,0.8280069209343931,0.2353535353535353,26,1.9899992942810056
vowel,chebyshev,ball_tree,9,0.4995015387761312,0.0093253073788821,0.7904777110492475,0.204040404040404,19,1.949000120162964
