Dataset,Accuracy,Time (seconds),kernel,C,class_weight,shrinking,gamma
balance_1,0.08064516129032258,0.039977312088012695,rbf,0.001,balanced,False,1
balance_1,0.45161290322580644,0.04017281532287598,rbf,0.01,,True,scale
balance_1,0.45161290322580644,0.03233218193054199,rbf,0.01,,False,scale
balance_1,0.08064516129032258,0.04002118110656738,rbf,0.01,balanced,True,scale
balance_1,0.08064516129032258,0.039981842041015625,rbf,0.01,balanced,False,scale
balance_1,0.45161290322580644,0.031980276107788086,rbf,0.01,,True,auto
balance_1,0.45161290322580644,0.031999826431274414,rbf,0.01,,False,auto
balance_1,0.08064516129032258,0.04016995429992676,rbf,0.01,balanced,True,auto
balance_1,0.08064516129032258,0.040000200271606445,rbf,0.01,balanced,False,auto
balance_1,0.45161290322580644,0.024218082427978516,rbf,0.01,,True,0.001
balance_1,0.45161290322580644,0.032193660736083984,rbf,0.01,,False,0.001
balance_1,0.08064516129032258,0.04800057411193848,rbf,0.01,balanced,True,0.001
balance_1,0.08064516129032258,0.04018831253051758,rbf,0.01,balanced,False,0.001
balance_1,0.45161290322580644,0.03199958801269531,rbf,0.01,,True,0.01
balance_1,0.45161290322580644,0.03200078010559082,rbf,0.01,,False,0.01
balance_1,0.08064516129032258,0.03998303413391113,rbf,0.01,balanced,True,0.01
balance_1,0.08064516129032258,0.04002118110656738,rbf,0.01,balanced,False,0.01
balance_1,0.45161290322580644,0.023999691009521484,rbf,0.01,,True,0.1
balance_1,0.45161290322580644,0.02399611473083496,rbf,0.01,,False,0.1
balance_1,0.08064516129032258,0.0400240421295166,rbf,0.01,balanced,True,0.1
balance_1,0.08064516129032258,0.03199958801269531,rbf,0.01,balanced,False,0.1
balance_1,0.45161290322580644,0.03218483924865723,rbf,0.01,,True,1
balance_1,0.45161290322580644,0.03200483322143555,rbf,0.01,,False,1
balance_1,0.08064516129032258,0.032514095306396484,rbf,0.01,balanced,True,1
balance_1,0.08064516129032258,0.03997635841369629,rbf,0.01,balanced,False,1
balance_1,0.8870967741935484,0.024582862854003906,rbf,0.1,,True,scale
balance_1,0.8870967741935484,0.02450108528137207,rbf,0.1,,False,scale
balance_1,0.27419354838709675,0.056009769439697266,rbf,0.1,balanced,True,scale
balance_1,0.27419354838709675,0.04799628257751465,rbf,0.1,balanced,False,scale
balance_1,0.8870967741935484,0.02418208122253418,rbf,0.1,,True,auto
balance_1,0.8870967741935484,0.024020671844482422,rbf,0.1,,False,auto
balance_1,0.08064516129032258,0.043782711029052734,rbf,0.1,balanced,True,auto
balance_1,0.08064516129032258,0.04046344757080078,rbf,0.1,balanced,False,auto
balance_1,0.45161290322580644,0.02512669563293457,rbf,0.1,,True,0.001
balance_1,0.45161290322580644,0.03263211250305176,rbf,0.1,,False,0.001
balance_1,0.08064516129032258,0.03999972343444824,rbf,0.1,balanced,True,0.001
balance_1,0.08064516129032258,0.04021167755126953,rbf,0.1,balanced,False,0.001
balance_1,0.45161290322580644,0.03198504447937012,rbf,0.1,,True,0.01
balance_1,0.45161290322580644,0.032015085220336914,rbf,0.1,,False,0.01
balance_1,0.08064516129032258,0.04052567481994629,rbf,0.1,balanced,True,0.01
balance_1,0.08064516129032258,0.04020118713378906,rbf,0.1,balanced,False,0.01
balance_1,0.8709677419354839,0.03200340270996094,rbf,0.1,,True,0.1
balance_1,0.8709677419354839,0.032314300537109375,rbf,0.1,,False,0.1
balance_1,0.11290322580645161,0.040346622467041016,rbf,0.1,balanced,True,0.1
balance_1,0.11290322580645161,0.03200030326843262,rbf,0.1,balanced,False,0.1
balance_1,0.45161290322580644,0.040306806564331055,rbf,0.1,,True,1
balance_1,0.45161290322580644,0.04033374786376953,rbf,0.1,,False,1
balance_1,0.08064516129032258,0.04016685485839844,rbf,0.1,balanced,True,1
balance_1,0.08064516129032258,0.08402347564697266,rbf,0.1,balanced,False,1
